"T","Points:0","Points:1","Points:2"
322.86,0.474,-0.13518,0
323.18,0.48,-0.13518,0
325.88,0.486,-0.13518,0
329.36,0.492,-0.13518,0
330.76,0.498,-0.13518,0
331.12,0.504,-0.13518,0
331.61,0.51,-0.13518,0
331.86,0.516,-0.13518,0
331.28,0.522,-0.13518,0
329.41,0.528,-0.13518,0
326.57,0.534,-0.13518,0
325.39,0.54,-0.13518,0
327.96,0.546,-0.13518,0
330.97,0.552,-0.13518,0
332.33,0.558,-0.13518,0
329.91,0.564,-0.13518,0
320.4,0.57,-0.13518,0
313.9,0.576,-0.13518,0
319.97,0.006,-0.13224,0
320,0,-0.13224,0
319.98,0.012,-0.13224,0
319.98,0.018,-0.13224,0
319.98,0.024,-0.13224,0
319.98,0.03,-0.13224,0
319.98,0.036,-0.13224,0
319.98,0.042,-0.13224,0
319.98,0.048,-0.13224,0
319.98,0.054,-0.13224,0
319.98,0.06,-0.13224,0
319.98,0.066,-0.13224,0
319.98,0.072,-0.13224,0
319.97,0.078,-0.13224,0
319.97,0.084,-0.13224,0
319.97,0.09,-0.13224,0
319.96,0.096,-0.13224,0
319.96,0.102,-0.13224,0
319.96,0.108,-0.13224,0
319.95,0.114,-0.13224,0
319.95,0.12,-0.13224,0
319.95,0.126,-0.13224,0
319.95,0.132,-0.13224,0
319.95,0.138,-0.13224,0
319.95,0.144,-0.13224,0
319.94,0.15,-0.13224,0
319.94,0.156,-0.13224,0
319.94,0.162,-0.13224,0
319.93,0.168,-0.13224,0
319.93,0.174,-0.13224,0
319.92,0.18,-0.13224,0
319.91,0.186,-0.13224,0
319.9,0.192,-0.13224,0
319.9,0.198,-0.13224,0
319.89,0.204,-0.13224,0
319.89,0.21,-0.13224,0
319.93,0.216,-0.13224,0
320.09,0.222,-0.13224,0
320.26,0.228,-0.13224,0
321.01,0.234,-0.13224,0
324.9,0.24,-0.13224,0
334.48,0.246,-0.13224,0
341.77,0.252,-0.13224,0
340.85,0.258,-0.13224,0
338.72,0.264,-0.13224,0
341.12,0.27,-0.13224,0
345.7,0.276,-0.13224,0
347.03,0.282,-0.13224,0
344.86,0.288,-0.13224,0
345.83,0.294,-0.13224,0
352.87,0.3,-0.13224,0
359.21,0.306,-0.13224,0
361.28,0.312,-0.13224,0
361.13,0.318,-0.13224,0
360.71,0.324,-0.13224,0
359.71,0.33,-0.13224,0
357.9,0.336,-0.13224,0
357.16,0.342,-0.13224,0
356.39,0.348,-0.13224,0
354.93,0.354,-0.13224,0
354.28,0.36,-0.13224,0
353.75,0.366,-0.13224,0
352.31,0.372,-0.13224,0
350.43,0.378,-0.13224,0
349.67,0.384,-0.13224,0
348.54,0.39,-0.13224,0
346.63,0.396,-0.13224,0
